reef,longitude,latitude,month,year,month_year,month_year2,coral_type,lightest_letter,lightest_number,darkest_letter,darkest_number
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Branching,C,2,C,3
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,D,3,D,5
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Soft,C,2,C,3
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Branching,E,1,E,5
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Boulder,E,2,E,5
Twin Peaks,99.812225,10.116765,12,2018,2018-12-01,2018-12,Branching,C,1,C,4
Junkyard,99.819901,10.08708,12,2018,2018-12-01,2018-12,Branching,C,2,C,3
Junkyard,99.819901,10.08708,12,2018,2018-12-01,2018-12,Branching,C,2,C,3
Junkyard,99.819901,10.08708,12,2018,2018-12-01,2018-12,Branching,C,3,C,4
Junkyard,99.819901,10.08708,12,2018,2018-12-01,2018-12,Branching,D,2,D,3
Junkyard,99.819901,10.08708,12,2018,2018-12-01,2018-12,Branching,D,2,C,4
Junkyard,99.819901,10.08708,12,2018,2018-12-01,2018-12,Branching,C,2,C,5
Junkyard,99.819901,10.08708,12,2018,2018-12-01,2018-12,Branching,D,3,C,6
Junkyard,99.819901,10.08708,12,2018,2018-12-01,2018-12,Branching,D,2,D,4
Junkyard,99.819901,10.08708,12,2018,2018-12-01,2018-12,Branching,D,2,D,4
Junkyard,99.819901,10.08708,12,2018,2018-12-01,2018-12,Branching,C,1,C,3
Junkyard,99.819901,10.08708,12,2018,2018-12-01,2018-12,Branching,C,2,C,4
Junkyard,99.819901,10.08708,12,2018,2018-12-01,2018-12,Branching,C,2,C,5
